,index,CID,MolecularFormula,MolecularWeight,CanonicalSMILES,Complexity
71,167,5242583,C18H16NP,277.3,CC1=NC(=CC=C1)P(C2=CC=CC=C2)C3=CC=CC=C3,263
72,168,5250308,C18H16NP,277.3,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3N,263
73,178,10665273,C21H31O2P,346.4,C1CCC(CC1)P(C2CCCCC2)C3=CC=CC=C3C4OCCO4,352
74,190,11033167,C18H15P,277.4,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3,202
75,193,11065346,C15H12N3P,265.25,C1=CC=NC(=C1)P(C2=CC=CC=N2)C3=CC=CC=N3,231
76,197,11175133,C22H28NP,337.4,CC(C)(C)P(C1=CC2=CC=CC=C2N1C3=CC=CC=C3)C(C)(C)C,399
77,205,15145880,C17H22NP,271.34,CC(C)C(CP(C1=CC=CC=C1)C2=CC=CC=C2)N,224
78,207,17909966,C14H27P,226.34,CCP(C1CCCCC1)C2CCCCC2,148
79,208,23414295,C12H20NP,209.27,CCP(CC)C1=CC=C(C=C1)N(C)C,146
80,209,53411821,C26H32NP,389.5,C1CCC(CC1)P(C2CCCCC2)C3=CC4=CC=CC=C4N3C5=CC=CC=C5,457
81,211,57514668,C20H20NP,305.4,CC(C1=CC=CC=C1P(C2=CC=CC=C2)C3=CC=CC=C3)N,302
82,212,71651621,C26H23O2P,398.4,COC1=C(C(=CC=C1)OC)C2=CC=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4,441
83,214,112263,C24H27P,346.4,CC1=CC(=CC(=C1)P(C2=CC(=CC(=C2)C)C)C3=CC(=CC(=C3)C)C)C,327
84,216,4463278,C15H27P,238.35,C1CCC(C1)P(C2CCCC2)C3CCCC3,169
85,223,70675,C24H30N3P,391.5,CN(C)C1=CC=C(C=C1)P(C2=CC=C(C=C2)N(C)C)C3=CC=C(C=C3)N(C)C,376
86,225,3328702,C18H15OP,278.3,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=C(C=C3)O,255
87,226,136280,C3F9P,237.99,C(F)(F)(F)P(C(F)(F)F)C(F)(F)F,138
88,238,51676,C14H14BO2P,256.05,B1(OCP(CO1)C2=CC=CC=C2)C3=CC=CC=C3,244
89,239,2783789,C23H25N2P,360.4,C1N(CP(CN1CC2=CC=CC=C2)C3=CC=CC=C3)CC4=CC=CC=C4,369
90,245,130626,C28H19P,386.4,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=C4C=CC5=CC=CC6=C5C4=C(C=C6)C=C3,527
91,246,142458,C20H32NP,317.4,CN(C)C1=CC=C(C=C1)P(C2CCCCC2)C3CCCCC3,292
92,248,273264,C14H16NP,229.26,C1=CC=C(C=C1)P(CCN)C2=CC=CC=C2,165
93,249,434207,C18H15O3PS,342.3,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3S(=O)(=O)O,443
94,250,560927,C19H29P,288.4,CC1=CC=CC=C1P(C2CCCCC2)C3CCCCC3,258
95,252,2733416,C12H15P,190.22,C=CCP(CC=C)C1=CC=CC=C1,147
96,253,2734144,C24H24NOP,373.4,CC(C)C1COC(=N1)C2=CC=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4,475
97,255,2734215,C20H27P,298.4,CC(C)(C)P(C1=CC=CC=C1C2=CC=CC=C2)C(C)(C)C,300
98,256,2734216,C24H31P,350.5,C1CCC(CC1)P(C2CCCCC2)C3=CC=CC=C3C4=CC=CC=C4,356
99,257,2734217,C26H36NP,393.5,CN(C)C1=CC=CC=C1C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4,433
100,266,2734936,C22H32NP,341.5,CC(C)(C)P(C1=CC=CC=C1C2=CC=CC=C2N(C)C)C(C)(C)C,376
101,267,2734937,C21H29P,312.4,CC1=CC=CC=C1C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C,332
102,268,2734938,C25H33P,364.5,CC1=CC=CC=C1C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4,388
103,269,2734939,C26H24NP,381.4,CN(C)C1=CC=CC=C1C2=CC=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4,433
104,278,4643319,C16H31P,254.39,CC(C)(C)P(C1CCCCC1)C2CCCCC2,198
105,290,9937955,C25H26NOP,387.5,CC(C)(C)C1COC(=N1)C2=CC=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4,509
106,291,10731871,C18H24NP,285.4,CC(C)(C)C(CP(C1=CC=CC=C1)C2=CC=CC=C2)N,254
107,294,10861198,C23H17O2P,356.4,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=C(C4=CC=CC=C4C=C3)C(=O)O,449
108,303,11006655,C9H21O3P,208.23,C(CO)CP(CCCO)CCCO,81
109,308,11078910,C22H33O2P,360.5,CC1(OCCO1)C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4,390
110,314,11166389,C18H22NP,283.3,C1CCC(C(C1)N)P(C2=CC=CC=C2)C3=CC=CC=C3,263
111,321,11280187,C25H26NP,371.5,C1CCC(CC1)N=CC2=CC=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4,425
112,324,11370610,C21H22NP,319.4,CN(C)CC1=CC=CC=C1P(C2=CC=CC=C2)C3=CC=CC=C3,313
113,325,11371790,C24H39P,358.5,CCCCP(C12CC3CC(C1)CC(C3)C2)C45CC6CC(C4)CC(C6)C5,408
114,331,11473647,C18H26BrP,353.3,C1CCC(CC1)P(C2CCCCC2)C3=CC=CC=C3Br,263
115,342,11714598,C16H28NP,265.37,CC(C)(C)P(C1=CC=C(C=C1)N(C)C)C(C)(C)C,237
116,351,12140166,C22H30NP,339.5,C1CCC(CC1)P(C2CCCCC2)C3=CC=CN3C4=CC=CC=C4,348
117,357,12976978,C24H19P,338.4,C1=CC=C(C=C1)C2=CC=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4,356
118,372,16217916,C21H33P,316.5,CC1=CC(=C(C(=C1)C)P(C2CCCCC2)C3CCCCC3)C,297
119,381,19009137,C18H27O3PS,354.4,C1CCC(CC1)P(C2CCCCC2)C3=CC=CC=C3S(=O)(=O)O,443
120,382,21036238,C21H17O4P,364.3,COC(=O)C1=C(C=C(C=C1)C(=O)O)P(C2=CC=CC=C2)C3=CC=CC=C3,464
121,383,21909131,C24H33P,352.5,CC1(CC1(C2=CC=CC=C2)C3=CC=CC=C3)P(C(C)(C)C)C(C)(C)C,422
122,384,23443513,C16H28NP,265.37,CC(C)(C)P(C1=CC=CC=C1N(C)C)C(C)(C)C,245
123,397,53234144,C19H35N2P,322.5,CCN(CC)CC1=NC(=CC=C1)CP(C(C)(C)C)C(C)(C)C,298
124,398,53427790,C16H21O3P,292.31,CC12CC3(OC(O1)(CC(O2)(P3C4=CC=CC=C4)C)C)C,407
125,404,57552996,C8H20NP,161.22,CC(C)P(CCN)C(C)C,73
126,405,57553001,C10H24NP,189.28,CC(C)(C)P(CCN)C(C)(C)C,116
127,407,71309688,C22H22NP,331.4,C1CC(C2=C(C1)C=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4)N,367
128,408,71310799,C21H33P,316.5,CC(C)C1=CC=C(C=C1)P(C2CCCCC2)C3CCCCC3,286
129,427,3085487,C16H27P,250.36,CCCCCP(CCCCC)C1=CC=CC=C1,151
130,429,11119846,C19H18NP,291.3,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3CN,276
131,432,12483346,C3H9P,85.13,CP(C)C,8
132,444,141533,C27H33P,388.5,CC(C)C1=CC=C(C=C1)P(C2=CC=C(C=C2)C(C)C)C3=CC=C(C=C3)C(C)C,363
133,454,80755,C16H19P,242.29,CCCCP(C1=CC=CC=C1)C2=CC=CC=C2,172
134,458,85471,C9H15P,154.19,C=CCP(CC=C)CC=C,92
135,459,108738,C16H17O2P,272.28,CCOC(=O)CP(C1=CC=CC=C1)C2=CC=CC=C2,250
136,460,111022,C16H19P,242.29,CCC(C)P(C1=CC=CC=C1)C2=CC=CC=C2,184
137,462,137886,C10H13P,164.18,C1CCP(C1)C2=CC=CC=C2,110
138,465,140676,C10H9P,160.15,C1=CC=C(C=C1)P2C=CC=C2,110
139,466,141780,C9H21P,160.24,CCCCP(C)CCCC,53
140,467,142197,C7H11P,126.14,CC1=CP(C=C1C)C,70
141,468,147543,C3H9OP,92.08,CP(C)CO,20
142,470,603920,C19H17P,276.3,C1=CC=C(C=C1)CP(C2=CC=CC=C2)C3=CC=CC=C3,239
143,472,5239018,C22H17P,312.3,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC4=CC=CC=C43,335
144,475,10111046,C24H30N3P,391.5,CN(C)C1=CC=CC=C1P(C2=CC=CC=C2N(C)C)C3=CC=CC=C3N(C)C,400
145,476,11427484,C19H14F3P,330.3,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC(=C3)C(F)(F)F,338
146,478,11500455,C14H10F5P,304.19,C1=CC=C(C=C1)P(C2=CC=CC=C2)C(C(F)(F)F)(F)F,285
147,480,12487824,C13H10F3P,254.19,C1=CC=C(C=C1)P(C2=CC=CC=C2)C(F)(F)F,209
148,481,13093043,C8H5F6P,246.09,C1=CC=C(C=C1)P(C(F)(F)F)C(F)(F)F,188
149,482,15205869,C18H13F2P,298.3,C1=CC=C(C=C1)P(C2=CC=C(C=C2)F)C3=CC=C(C=C3)F,278
150,489,386462,C14H13P,212.23,C1=CC=C(C=C1)P2C3C=CC=CC2C=C3,285
151,491,796908,C14H15OP,230.24,C1=CC=C(C=C1)P(CCO)C2=CC=CC=C2,165
152,493,258371,C18H13OP,276.3,C1=CC=C(C=C1)P2C3=CC=CC=C3OC4=CC=CC=C42,303
153,494,272348,C20H19P,290.3,C1=CC=C(C=C1)CP(CC2=CC=CC=C2)C3=CC=CC=C3,250
154,495,272352,C20H19P,290.3,CC1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=C(C=C3)C,269
155,496,329211,C19H17PS,308.4,CSC1=CC=CC=C1P(C2=CC=CC=C2)C3=CC=CC=C3,276
156,501,16227538,C20H17N2P,316.3,CC1=C(N2C=CC=CC2=N1)P(C3=CC=CC=C3)C4=CC=CC=C4,358
157,502,428663,C14H13P,212.23,CCP1C2=CC=CC=C2C3=CC=CC=C31,203
158,503,535207,C4H11P,90.1,CCP(C)C,17
159,505,4130459,C15H21OP,248.3,CC1(CC(=O)CC(P1C2=CC=CC=C2)(C)C)C,280
160,506,5325075,C13H11P,198.2,CP1C2=CC=CC=C2C3=CC=CC=C31,191
161,507,10304870,C12H9O3P,232.17,C1=COC=C1P(C2=COC=C2)C3=COC=C3,198
162,508,14940222,C26H17P,360.4,C1=CC=C(C=C1)P2C3=C(C4=CC=CC=C4C=C3)C5=C2C=CC6=CC=CC=C65,484
163,513,44634514,C19H15N2P,302.3,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CN=C4N3C=CC=C4,331
164,515,246550,C15H36N3P,289.44,CCN(CC)CP(CN(CC)CC)CN(CC)CC,157
165,518,3700757,C14H12N3PS,285.31,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=NN=C(S3)N,262
166,519,205637,C19H21O4P,344.3,CP(CCOC(=O)C1=CC=CC=C1)CCOC(=O)C2=CC=CC=C2,351
167,520,3075135,C21H24N3P,349.4,C1=CN=CC=C1CCP(CCC2=CC=NC=C2)CCC3=CC=NC=C3,282
168,522,264085,C12H17OP,208.24,CP1CCC(CC1)(C2=CC=CC=C2)O,179
169,523,2306611,C14H15N2P,242.26,C1NC2=CC=CC=C2NCP1C3=CC=CC=C3,224
170,526,213209,C18H39O6P,382.5,CC(COC(C)CP(CC(C)OCC(C)O)CC(C)OCC(C)O)O,272
171,560,4200805,C20H19P,290.3,CC1=CC(=CC=C1)P(C2=CC=CC=C2)C3=CC=CC(=C3)C,285
172,561,4420810,C17H19O2P,286.3,CC1=CC(=CC(=C1)P(CCC(=O)O)C2=CC=CC=C2)C,302
173,562,4643321,C14H29P,228.35,CC(C)(C)P(C1CCCCC1)C(C)(C)C,174
174,587,11759772,C24H27P,346.4,CC1=CC(=C(C=C1)P(C2=C(C=C(C=C2)C)C)C3=C(C=C(C=C3)C)C)C,357
175,588,11760420,C24H19O2P,370.4,COC(=O)C1=C(C=CC2=CC=CC=C21)P(C3=CC=CC=C3)C4=CC=CC=C4,463
176,594,11982345,C21H22NP,319.4,CC(C(C1=CC=CC=C1)P(C2=CC=CC=C2)C3=CC=CC=C3)N,309
177,601,15655459,C19H16NOP,305.3,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3C=NO,329
178,609,22925485,C15H22F3P,290.3,CC(C)(C)P(C1=CC=C(C=C1)C(F)(F)F)C(C)(C)C,274
179,613,24949188,C11H25O3PS,268.36,CC(C)(C)P(CCCS(=O)(=O)O)C(C)(C)C,290
180,615,25419069,C12H21O6P,292.26,COC(=O)CCP(CCC(=O)OC)CCC(=O)OC,257
181,616,46176707,C21H22NP,319.4,CC(C(C1=CC=CC=C1)P(C2=CC=CC=C2)C3=CC=CC=C3)N,309
182,617,46177587,C26H24NP,381.4,C1=CC=C(C=C1)C(C(C2=CC=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)N,410
183,622,53411822,C25H31OP,378.5,C1CCC(CC1)P(C2CCCCC2)C3=CC=CC=C3C(=O)C4=CC=CC=C4,439
184,623,53413586,C20H41O3PSi,388.6,CCO[Si](CCP(C1CCCCC1)C2CCCCC2)(OCC)OCC,309
